"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"53 620 грн","ЖК Подол Престиж","Поділ","Подільський","4 кімнати","220 / - / 25 м²","поверх 10 з 12","монолітно-каркасний","",""
"49 790 грн","ЖК вул. Дмитрівська, 80, 82","Солдатська слобідка","Шевченківський","4 кімнати","120 / - / 40 м²","поверх 14 з 24","спец. проект","монолітно-каркасний","2008"
"25 000 грн","Нова забудова","Голосіївський","Київ","5 кімнат","150 / - / 20 м²","поверх 3 з 4","дореволюційний","цегляний будинок","1906"
"18 000 грн","Академмістечко","Святошинський","Київ","4 кімнати","95 / - / 10 м²","поверх 8 з 16","АППС","утеплена панель","1994"
"15 000 грн","Дарницький","Київ","","4 кімнати","80 / - / 15 м²","поверх 2 з 4","","",""
"306 400 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","5 кімнат","210 / - / 13 м²","поверх 5 з 30","цегляний будинок","",""
"96 140 грн","Нова забудова","Голосіївський","Київ","4 кімнати","178 / - / 25 м²","поверх 6 з 6","дореволюційний","цегляний будинок","1910"
"172 350 грн","ЖК вул. Ірининська, 5-7","Старий Київ","Шевченківський","5 кімнат","263 / - / 20 м²","поверх 5 з 12","спец. проект","монолітно-каркасний","2005"
"57 450 грн","Нова забудова","Печерський","Київ","4 кімнати","168 / - / 20 м²","поверх 10 з 11","спец. проект","монолітно-каркасний","2006"
"107 240 грн","ЖК Crystal Park","Шулявка","Шевченківський","4 кімнати","160 / - / 37 м²","поверх 8 з 9","спец. проект","монолітно-каркасний","2013"
