"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"14 000 грн","Шулявка","Шевченківський","Київ","3 кімнати","50 / 35 / 7 м²","поверх 3 з 5","хрущівка","цегляний будинок","1960"
"38 300 грн","ЖК RiverStone","Позняки","Дарницький","2 кімнати","65 / 18 / 25 м²","поверх 20 з 22","спец. проект","монолітно-каркасний","2012"
"34 470 грн","Чорна Гора","Печерський","Київ","1 кімната","45 / 11 / 27 м²","поверх 22 з 24","","",""
"45 960 грн","ЖК Творець","Нижній Печерськ","Печерський","3 кімнати","136.5 / 81.6 / 18 м²","поверх 6 з 20","спец. проект","монолітно-каркасний","2006"
"68 940 грн","ЖК Львівський квартал","Шевченківський","Київ","3 кімнати","82 / 34 / 12 м²","поверх 9 з 13","спец. проект","монолітно-каркасний","2018"
"65 110 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","4 кімнати","120 / 70 / 20 м²","поверх 12 з 29","спец. проект","монолітно-каркасний","2012"
"20 000 грн","Голосіїво","Голосіївський","Київ","4 кімнати","95 / 60 / 25 м²","поверх 5 з 5","сталінка","цегляний будинок","1956"
"23 000 грн","ЖК Respublika","Теремки","Голосіївський","2 кімнати","42 / 1 / 1 м²","поверх 6 з 7","спец. проект","монолітно-каркасний","2019"
"28 000 грн","ЖК вул. Білоруська, 3","Лук'янівка","Шевченківський","3 кімнати","120 / 50 / 30 м²","поверх 19 з 21","спец. проект","монолітно-каркасний","2009"
"84 260 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","3 кімнати","120 / 80 / 20 м²","поверх 14 з 18","спец. проект","монолітно-каркасний","2013"
"34 470 грн","Історичний центр","Шевченківський","Київ","2 кімнати","56 / 25 / 25 м²","поверх 4 з 4","","",""
"26 000 грн","ЖК Botanic Towers","Нова забудова","Шевченківський","2 кімнати","65 / 45 / 8 м²","поверх 4 з 21","спец. проект","монолітно-каркасний","2008"
"16 500 грн","Шулявка","Шевченківський","Київ","3 кімнати","71 / 54 / 9 м²","поверх 6 з 9","цегляний будинок","1972",""
"95 750 грн","ЖК Zverinetskiy","Звіринець","Печерський","5 кімнат","175 / 100 / 20 м²","поверх 4 з 9","спец. проект","монолітно-каркасний","2013"
"11 000 грн","Оболонь","Оболонський","Київ","1 кімната","31 / 14 / 7 м²","поверх 2 з 9","серія 96","утеплена панель","1979"
"20 000 грн","ЖК Нивки-Парк","Ґалаґани","Святошинський","1 кімната","35.3 / 30 / 5 м²","поверх 12 з 20","спец. проект","монолітно-каркасний","2019"
"29 000 грн","ЖК вул. Львівська, 22, 22а","Святошино","Святошинський","4 кімнати","154 / 86 / 27 м²","поверх 17 з 26","спец. проект","монолітно-каркасний","2008"
"8 000 грн","Голосіїво","Голосіївський","Київ","1 кімната","30 / 18 / 8 м²","поверх 2 з 5","хрущівка","цегляний будинок","1965"
"13 000 грн","Академмістечко","Святошинський","Київ","2 кімнати","48 / 29 / 8.5 м²","поверх 9 з 16","БПС","утеплена панель","1975"
"45 000 грн","Липки","Печерський","Київ","3 кімнати","110 / 65 / 12 м²","поверх 5 з 6","сталінка","цегляний будинок","1936"
"8 000 грн","Північно-Броварський (Комсомольський)","Дніпровський","Київ","2 кімнати","49 / 34 / 9 м²","поверх 16 з 16","БПС","утеплена панель","1974"
"22 000 грн","ЖК Південна брама","Осокорки","Дарницький","3 кімнати","70 / 35 / 15 м²","поверх 10 з 18","спец. проект","цегляний будинок","2011"
"13 000 грн","Нижній Печерськ","Печерський","Київ","2 кімнати","50 / 31 / 7 м²","поверх 4 з 5","сталінка","цегляний будинок","1956"
"30 257 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","2 кімнати","50 / 25 / 20 м²","поверх 12 з 27","спец. проект","монолітно-каркасний","2016"
"14 000 грн","Оболонь","Оболонський","Київ","3 кімнати","72 / 50 / 8 м²","поверх 4 з 9","серія 96","утеплена панель","1982"
"24 000 грн","ЖК Славутич","Позняки","Дарницький","2 кімнати","43 / 15 / 17 м²","поверх 17 з 26","","",""
"16 000 грн","ЖК вул. Вірменська, 6а","Харьківський","Дарницький","1 кімната","50 / 23 / 18 м²","поверх 18 з 25","спец. проект","монолітно-каркасний","2016"
"35 000 грн","ЖК Святобор","Святошино","Святошинський","3 кімнати","82 / 42 / 40 м²","поверх 3 з 26","2020","",""
"12 000 грн","Соцмісто","Дніпровський","Київ","2 кімнати","46 / 28 / 6 м²","поверх 3 з 5","хрущівка","панельні",""
"17 000 грн","Черепанова гора","Печерський","Київ","3 кімнати","85 / 40 / 13 м²","поверх 4 з 5","хрущівка","цегляний будинок","1959"
"11 000 грн","Теремки-1","Голосіївський","Київ","4 кімнати","80.7 / 52.2 / 7.7 м²","поверх 1 з 9","серія 87","цегляний будинок","1978"
"229 762 грн","Старий Київ","Шевченківський","Київ","6 кімнат","370 / 150 / 25 м²","поверх 7 з 7","дореволюційний","цегляний будинок","1912"
"9 000 грн","Позняки","Дарницький","Київ","2 кімнати","55 / 30 / 9 м²","поверх 9 з 10","серія 96","утеплена панель","1993"
"12 000 грн","ЖК Молодіжний квартал","Осокорки","Дарницький","1 кімната","43.5 / 20 / 9 м²","поверх 13 з 25","АППС","утеплена панель","2012"
"38 300 грн","ЖК Ярославів Град","Шевченківський","Київ","1 кімната","49 / 20 / 10 м²","поверх 11 з 19","","",""
"22 980 грн","Солом'янський","Київ","","2 кімнати","50 / 34 / 10 м²","поверх 3 з 3","","",""
"20 000 грн","Черепанова гора","Печерський","Київ","3 кімнати","54 / 25 / 8 м²","поверх 1 з 6","сталінка","цегляний будинок","1959"
"15 000 грн","Лівобережний масив","Дніпровський","Київ","2 кімнати","60 / 30 / 8 м²","поверх 1 з 14","спец. проект","цегляний будинок","1975"
"34 470 грн","ЖК Корона Печерська","Печерськ","Печерський","2 кімнати","88 / 40 / 12 м²","поверх 13 з 25","спец. проект","монолітно-каркасний","2005"
"18 000 грн","Лук'янівка","Шевченківський","Київ","2 кімнати","60 / 37 / 8 м²","поверх 3 з 7","сталінка","цегляний будинок","1959"
"15 000 грн","Шулявка","Шевченківський","Київ","2 кімнати","45 / 1 / 1 м²","поверх 3 з 9","чеський проект","панельні","1969"
"15 000 грн","Позняки","Дарницький","Київ","3 кімнати","85 / 65 / 12 м²","поверх 3 з 22","цегляний будинок","",""
"14 500 грн","Оболонь","Оболонський","Київ","2 кімнати","57 / 40 / 8 м²","поверх 14 з 16","серія Т","утеплена панель","1982"
"12 000 грн","Північно-Броварський (Комсомольський)","Дніпровський","Київ","1 кімната","34 / 18 / 7 м²","поверх 11 з 16","БПС","утеплена панель","1974"
"38 300 грн","ЖК Victory V","Шулявка","Шевченківський","1 кімната","45 / 20 / 10 м²","поверх 33 з 34","спец. проект","монолітно-каркасний","2018"
"20 000 грн","Оболонь","Оболонський","Київ","2 кімнати","65 / 30 / 16 м²","поверх 12 з 12","спец. проект","цегляний будинок","1997"
