price,dist1,dist2,dist3,rooms,square,floor,type1,type2,type3,metro
38 300 грн,Нова забудова,Голосіївський,Київ,3 кімнати,77 / 50 / 10 м²,поверх 2 з 4,дореволюційний,цегляний будинок,вчора о 14:48,0
49 790 грн,ЖК Сонячна брама,Голосіїво,Голосіївський,3 кімнати,120 / 60 / 25 м²,поверх 4 з 9,спец. проект,монолітно-каркасний,вчора о 13:46,0
99 580 грн,ЖК PecherSKY,Звіринець,Печерський,3 кімнати,130 / 90 / 30 м²,поверх 13 з 28,спец. проект,монолітно-каркасний,вчора о 11:35,0
76 600 грн,Печерськ,Печерський,Київ,3 кімнати,196 / 120 / 20 м²,поверх 3 з 8,спец. проект,монолітно-каркасний,сьогодні о 11:03,0
36 385 грн,"ЖК вул. Дмитрівська, 69",Солдатська слобідка,Шевченківський,3 кімнати,130 / 1 / 1 м²,поверх 20 з 25,спец. проект,монолітно-каркасний,сьогодні о 10:01,0
76 600 грн,Печерськ,Печерський,Київ,3 кімнати,200 / 120 / 20 м²,поверх 5 з 8,спец. проект,монолітно-каркасний,сьогодні о 11:04,0
24 000 грн,Святошино,Святошинський,Київ,4 кімнати,120 / 75 / 16 м²,поверх 11 з 21,спец. проект,цегляний будинок,сьогодні о 10:17,0
17 500 грн,Позняки,Дарницький,Київ,3 кімнати,98 / 49 / 15 м²,поверх 18 з 22,серія КТ,утеплена панель,22 січня,0
68 940 грн,Нова забудова,Голосіївський,Київ,5 кімнат,240 / 130 / 30 м²,поверх 7 з 7,дореволюційний,цегляний будинок,сьогодні о 14:26,0
42 130 грн,Поділ,Подільський,Київ,4 кімнати,148 / 94 / 15 м²,поверх 6 з 10,спец. проект,монолітно-каркасний,22 січня,0
16 000 грн,Караваєві Дачі,Солом'янський,Київ,3 кімнати,105 / 65 / 17 м²,поверх 3 з 16,спец. проект,монолітно-каркасний,сьогодні о 15:52,0
20 000 грн,Осокорки,Дарницький,Київ,3 кімнати,123 / 90 / 20 м²,поверх 10 з 25,спец. проект,монолітно-каркасний,23 січня,0
36 385 грн,"ЖК вул. Антоновича (Горького), 72",Нова забудова,Голосіївський,3 кімнати,115 / 70 / 15 м²,поверх 10 з 25,спец. проект,монолітно-каркасний,сьогодні о 15:18,0
8 000 грн,Караваєві Дачі,Солом'янський,Київ,3 кімнати,60 / 40 / 9 м²,поверх 8 з 9,хрущівка,панельні,17 січня,0
32 555 грн,ЖК Silver Breeze,Березняки,Дніпровський,3 кімнати,120 / 45 / 30 м²,поверх 7 з 32,спец. проект,монолітно-каркасний,22 січня,0
20 000 грн,Березняки,Дніпровський,Київ,3 кімнати,100 / 51 / 13.8 м²,поверх 12 з 16,спец. проект,монолітно-каркасний,15 січня,0
57 450 грн,Липки,Печерський,Київ,3 кімнати,100 / 60 / 33 м²,поверх 4 з 7,дореволюційний,цегляний будинок,22 січня,0
20 000 грн,ЖК Поетичний,Позняки,Дарницький,3 кімнати,76 / 36 / 18 м²,поверх 21 з 25,АППС,утеплена панель,23 січня,0
53 582 грн,Нова забудова,Шевченківський,Київ,3 кімнати,100 / 75 / 20 м²,поверх 9 з 23,спец. проект,монолітно-каркасний,сьогодні о 16:53,0
191 500 грн,ЖК Zverinetskiy,Звіринець,Печерський,4 кімнати,220 / 180 / 40 м²,поверх 7 з 8,спец. проект,монолітно-каркасний,сьогодні о 08:25,0
65 110 грн,ЖК Rybalsky,Рибальський острів,Подільський,4 кімнати,116 / 60 / 20 м²,поверх 3 з 9,спец. проект,монолітно-каркасний,сьогодні о 09:26,0
19 500 грн,"ЖК вул. Петра Калнишевського (Майорова), 6",Мінський,Оболонський,3 кімнати,98 / 60 / 10 м²,поверх 12 з 26,спец. проект,панельні,19 січня,0
76 600 грн,ЖК Новопечерські Липки,Чорна Гора,Печерський,3 кімнати,160 / 120 / 30 м²,поверх 9 з 20,спец. проект,монолітно-каркасний,20 січня,0
42 130 грн,"ЖК вул. Златоустівська, 50",Солдатська слобідка,Шевченківський,4 кімнати,141 / 85.5 / 18.8 м²,поверх 6 з 16,спец. проект,монолітно-каркасний,22 січня,0
38 300 грн,Шевченківський,Київ,,3 кімнати,144 / 80 / 12 м²,поверх 2 з 6,цегляний будинок,,22 січня,0
