price,district,rooms,floor,metro,total_area,kitchen_area,floor_total
26810,Голосіївський,2,5.0,1,45.0,1.0,5.0
80430,Печерський,4,20.0,1,419.0,1.0,20.0
17500,Шевченківський,1,4.0,1,43.0,10.0,32.0
20000,Дарницький,3,24.0,1,125.0,15.0,28.0
18000,Голосіївський,3,9.0,1,115.0,17.0,18.0
11500,Голосіївський,1,5.0,1,37.0,9.0,16.0
19000,Шевченківський,3,2.0,1,84.0,10.0,9.0
9000,Шевченківський,1,5.0,1,40.0,8.0,9.0
42130,Печерський,1,4.0,1,55.0,12.0,24.0
76600,Шевченківський,3,2.0,1,81.0,15.0,7.0
61280,Печерський,3,15.0,1,81.0,25.0,24.0
16000,Голосіївський,3,9.0,1,72.0,7.3,9.0
34470,Солом'янський,3,6.0,1,74.0,20.0,26.0
49790,Оболонський,2,9.0,1,60.0,17.0,24.0
10000,Голосіївський,1,9.0,1,30.0,6.0,9.0
18810,Подільський,2,2.0,1,60.0,9.0,3.0
95750,Шевченківський,3,4.0,1,90.0,30.0,5.0
45960,Печерський,2,4.0,1,68.0,14.0,5.0
38300,Печерський,1,19.0,1,70.0,20.0,24.0
45960,Печерський,3,11.0,1,128.0,30.0,24.0
25000,Дарницький,2,10.0,1,48.0,15.0,25.0
38300,Печерський,2,19.0,1,83.0,18.0,25.0
30640,Печерський,2,24.0,1,55.0,10.0,24.0
16900,Дніпровський,1,4.0,1,50.0,20.0,15.0
36385,Печерський,1,22.0,1,50.0,15.0,25.0
45960,Шевченківський,3,17.0,1,146.0,20.0,23.0
16500,Голосіївський,2,6.0,1,68.0,15.0,12.0
15000,Дарницький,2,6.0,1,60.0,12.0,24.0
38300,Печерський,2,19.0,1,85.0,20.0,25.0
45960,Дніпровський,2,20.0,1,56.0,20.0,30.0
57450,Дніпровський,3,22.0,1,100.0,30.0,28.0
16000,Шевченківський,1,2.0,1,30.0,8.0,5.0
38300,Солом'янський,2,16.0,1,50.0,18.0,25.0
191500,Подільський,4,10.0,1,190.0,30.0,11.0
15999,Дніпровський,1,20.0,1,40.0,10.0,27.0
61280,Голосіївський,3,13.0,1,100.0,25.0,21.0
17000,Святошинський,1,12.0,1,48.0,12.0,12.0
59557,Печерський,2,5.0,1,90.0,40.0,22.0
45960,Печерський,3,9.0,1,80.0,20.0,25.0
57450,Печерський,2,5.0,1,80.0,22.0,25.0
57450,Шевченківський,2,3.0,1,50.0,15.0,4.0
72770,Шевченківський,3,7.0,1,106.0,30.0,23.0
17000,Шевченківський,1,12.0,1,32.0,4.0,15.0
145540,Печерський,3,14.0,1,130.0,12.0,25.0
13000,Дарницький,2,7.0,1,51.0,9.0,10.0
70855,Печерський,3,8.0,1,125.0,20.0,28.0
19150,Шевченківський,3,12.0,1,98.0,20.0,21.0
91920,Шевченківський,6,13.0,1,250.0,30.0,24.0
61280,Печерський,3,7.0,1,75.0,25.0,16.0
114900,Печерський,4,8.0,1,130.0,20.0,17.0
20000,Шевченківський,2,18.0,1,88.0,20.0,26.0
18000,Святошинський,3,4.0,1,80.0,11.0,10.0
17000,Шевченківський,2,4.0,1,51.0,12.0,25.0
34470,Шевченківський,3,5.0,1,101.0,10.0,5.0
12500,Дарницький,1,8.0,1,35.0,7.0,25.0
15000,Печерський,2,6.0,1,42.0,6.0,9.0
22980,Печерський,1,3.0,1,32.0,6.0,9.0
14000,Печерський,2,6.0,1,58.0,7.0,9.0
12000,Голосіївський,1,22.0,1,43.0,12.0,25.0
14000,Печерський,2,4.0,1,46.0,7.0,5.0
38300,Печерський,2,12.0,1,78.5,13.5,17.0
76562,Печерський,3,11.0,1,130.0,30.0,23.0
28725,Шевченківський,2,2.0,1,47.0,8.0,7.0
45000,Голосіївський,4,9.0,1,170.0,18.0,14.0
24000,Шевченківський,2,3.0,1,65.0,12.0,5.0
7500,Святошинський,1,3.0,1,18.0,4.0,5.0
17500,Печерський,1,1.0,1,41.0,8.0,10.0
17000,Голосіївський,2,3.0,1,66.0,13.0,16.0
